Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.codehaus.plexus.util.cli.Commandline	java.lang.Process execute()	2	2	null
org.codehaus.plexus.util.cli.Commandline	org.codehaus.plexus.util.cli.shell.Shell getShell()	7	5	1
org.codehaus.plexus.util.cli.shell.Shell	java.util.List getShellCommandLine(java.lang.String[])	7	7	null
org.codehaus.plexus.util.cli.shell.Shell	void setQuotedArgumentsEnabled(boolean)	5	3	1
org.codehaus.plexus.util.cli.shell.Shell	void setExecutable(java.lang.String)	7	7	null
org.codehaus.plexus.util.cli.shell.Shell	void setWorkingDirectory(java.lang.String)	7	7	null
org.codehaus.plexus.util.cli.shell.Shell	java.lang.String getOriginalExecutable()	2	2	null
org.codehaus.plexus.util.cli.StreamPumper	void run()	5	5	null
org.codehaus.plexus.util.cli.EnhancedStringTokenizer	boolean hasMoreTokens()	4	4	null
org.codehaus.plexus.util.cli.EnhancedStringTokenizer	java.lang.String nextToken()	28	6	4
org.codehaus.plexus.util.cli.Commandline$Argument	void setValue(java.lang.String)	32	7	4
org.codehaus.plexus.util.cli.Commandline$Argument	void setLine(java.lang.String)	4	3	1
org.codehaus.plexus.util.ReaderFactory	org.codehaus.plexus.util.xml.XmlStreamReader newXmlReader(java.io.File)	4	3	1
org.codehaus.plexus.util.FastMap$KeySet	java.util.Iterator iterator()	3	3	null
org.codehaus.plexus.util.FastMap$KeySet	int size()	2	2	null
org.codehaus.plexus.util.FastMap$KeySet	boolean contains(java.lang.Object)	4	1	1
org.codehaus.plexus.util.SelectorUtils	boolean matchPath(java.lang.String,java.lang.String)	4	1	1
org.codehaus.plexus.util.SelectorUtils	boolean matchPath(java.lang.String,java.lang.String,java.lang.String,boolean)	8	2	2
org.codehaus.plexus.util.dag.Vertex	java.lang.String getLabel()	10	2	2
org.codehaus.plexus.util.dag.Vertex	java.util.List getChildren()	6	2	2
org.codehaus.plexus.util.dag.Vertex	java.util.List getChildLabels()	5	2	2
org.codehaus.plexus.util.dag.Vertex	java.util.List getParents()	3	1	1
org.codehaus.plexus.util.dag.Vertex	java.util.List getParentLabels()	2	1	1
org.codehaus.plexus.util.dag.DAG	java.util.List getVertices()	4	1	1
org.codehaus.plexus.util.dag.DAG	org.codehaus.plexus.util.dag.Vertex addVertex(java.lang.String)	20	3	3
org.codehaus.plexus.util.dag.DAG	void addEdge(java.lang.String,java.lang.String)	53	4	4
org.codehaus.plexus.util.dag.DAG	org.codehaus.plexus.util.dag.Vertex getVertex(java.lang.String)	6	1	1
org.codehaus.plexus.util.dag.DAG	boolean hasEdge(java.lang.String,java.lang.String)	17	2	2
org.codehaus.plexus.util.dag.TopologicalSorter	java.util.List sort(org.codehaus.plexus.util.dag.DAG)	4	1	1
org.codehaus.plexus.util.dag.CycleDetectedException	java.util.List getCycle()	3	1	1
org.codehaus.plexus.util.dag.CycleDetectedException	java.lang.String getMessage()	2	2	null
