Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.io.input.BOMInputStream	int read()	115	29	21
org.apache.commons.io.input.BOMInputStream	int read(byte[],int,int)	9	5	4
org.apache.commons.io.input.BOMInputStream	int read(byte[])	11	9	2
org.apache.commons.io.input.BOMInputStream	void mark(int)	5	5	null
org.apache.commons.io.input.BOMInputStream	void reset()	6	6	null
org.apache.commons.io.input.BOMInputStream	long skip(long)	6	6	null
org.apache.commons.io.Java7Support	boolean isAtLeastJava7()	2	2	null
org.apache.commons.io.EndianUtils	short swapShort(short)	6	2	2
org.apache.commons.io.EndianUtils	int swapInteger(int)	9	2	2
org.apache.commons.io.EndianUtils	long swapLong(long)	6	2	2
org.apache.commons.io.EndianUtils	float swapFloat(float)	4	2	2
org.apache.commons.io.EndianUtils	double swapDouble(double)	4	2	2
org.apache.commons.io.EndianUtils	long readSwappedUnsignedInteger(byte[],int)	2	2	null
org.apache.commons.io.EndianUtils	void writeSwappedLong(byte[],int,long)	2	2	null
org.apache.commons.io.EndianUtils	long readSwappedLong(byte[],int)	2	2	null
org.apache.commons.io.EndianUtils	void writeSwappedDouble(byte[],int,double)	2	2	null
org.apache.commons.io.EndianUtils	double readSwappedDouble(byte[],int)	2	2	null
org.apache.commons.io.EndianUtils	long readSwappedUnsignedInteger(java.io.InputStream)	2	2	null
org.apache.commons.io.EndianUtils	double readSwappedDouble(java.io.InputStream)	2	2	null
org.apache.commons.io.IOCase	org.apache.commons.io.IOCase forName(java.lang.String)	5	1	1
org.apache.commons.io.IOCase	java.lang.String getName()	3	1	1
org.apache.commons.io.IOCase	boolean isCaseSensitive()	3	1	1
org.apache.commons.io.IOCase	int checkCompareTo(java.lang.String,java.lang.String)	18	2	2
org.apache.commons.io.IOCase	boolean checkEquals(java.lang.String,java.lang.String)	18	2	2
org.apache.commons.io.IOCase	boolean checkStartsWith(java.lang.String,java.lang.String)	18	2	2
org.apache.commons.io.IOCase	boolean checkEndsWith(java.lang.String,java.lang.String)	18	2	2
org.apache.commons.io.IOCase	int checkIndexOf(java.lang.String,int,java.lang.String)	35	2	2
org.apache.commons.io.IOCase	boolean checkRegionMatches(java.lang.String,int,java.lang.String)	30	2	2
org.apache.commons.io.IOCase	java.lang.String toString()	3	1	1
org.apache.commons.io.IOUtils	void close(java.net.URLConnection)	2	1	1
org.apache.commons.io.IOUtils	void closeQuietly(java.io.Reader)	20	11	8
org.apache.commons.io.IOUtils	void closeQuietly(java.io.Writer)	62	20	19
org.apache.commons.io.IOUtils	void closeQuietly(java.io.InputStream)	27	14	10
org.apache.commons.io.IOUtils	void closeQuietly(java.io.OutputStream)	127	44	44
