Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.helger.commons.collection.iterate.EmptyEnumeration	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.CombinedIterator	boolean hasNext()	91	41	17
com.helger.commons.collection.iterate.CombinedIterator	java.lang.Object next()	83	36	14
com.helger.commons.collection.iterate.CombinedIterator	void remove()	3	3	null
com.helger.commons.collection.iterate.CombinedIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.CombinedIterator	java.util.Iterator create(java.util.Iterator,java.util.Iterator)	7	1	1
com.helger.commons.collection.iterate.ReverseListIterator	boolean hasNext()	91	41	17
com.helger.commons.collection.iterate.ReverseListIterator	java.lang.Object next()	83	36	14
com.helger.commons.collection.iterate.ReverseListIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.IterableIterator	boolean hasNext()	109	45	20
com.helger.commons.collection.iterate.IterableIterator	java.lang.Object next()	95	40	18
com.helger.commons.collection.iterate.IterableIterator	void remove()	5	5	null
com.helger.commons.collection.iterate.IterableIterator	java.util.Iterator iterator()	2	2	null
com.helger.commons.collection.iterate.IterableIterator	java.lang.String toString()	4	1	1
com.helger.commons.collection.iterate.IterableIterator	com.helger.commons.collection.iterate.IIterableIterator createEmpty()	4	3	1
com.helger.commons.collection.CollectionHelper	java.util.Collection makeUnmodifiable(java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	java.util.List makeUnmodifiable(java.util.List)	7	5	1
com.helger.commons.collection.CollectionHelper	java.util.Set makeUnmodifiable(java.util.Set)	7	2	1
com.helger.commons.collection.CollectionHelper	java.util.Map makeUnmodifiable(java.util.Map)	7	2	1
com.helger.commons.collection.CollectionHelper	java.util.Collection makeUnmodifiableNotNull(java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	java.util.List makeUnmodifiableNotNull(java.util.List)	3	1	1
com.helger.commons.collection.CollectionHelper	java.util.Set makeUnmodifiableNotNull(java.util.Set)	6	1	1
com.helger.commons.collection.CollectionHelper	java.util.Map makeUnmodifiableNotNull(java.util.Map)	6	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsSet getDifference(java.util.Collection,java.util.Collection)	5	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsSet getIntersected(java.util.Collection,java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap()	4	3	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap(java.lang.Object,java.lang.Object)	15	12	3
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap(java.lang.Object[])	8	5	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap(java.lang.Object[],java.lang.Object[])	14	6	3
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap(java.util.Collection,java.util.Collection)	5	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap(java.util.Map)	4	3	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap(java.util.Map[])	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashMap newMap(java.util.Collection)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashMap newOrderedMap()	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashMap newOrderedMap(java.lang.Object[])	5	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashMap newOrderedMap(java.lang.Object[],java.lang.Object[])	5	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashMap newOrderedMap(java.util.Collection,java.util.Collection)	5	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashMap newOrderedMap(java.util.Map)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashMap newOrderedMap(java.util.Collection)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeMap newSortedMap()	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeMap newSortedMap(java.lang.Comparable[])	4	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeMap newSortedMap(java.lang.Comparable[],java.lang.Object[])	5	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeMap newSortedMap(java.util.Collection,java.util.Collection)	5	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeMap newSortedMap(java.util.Map)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeMap newSortedMap(java.util.Collection)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet()	2	2	null
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet(java.lang.Object)	4	3	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet(java.lang.Object[])	17	9	4
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet(java.lang.Iterable)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet(java.util.Collection)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet(java.util.Iterator)	2	2	null
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet(com.helger.commons.collection.iterate.IIterableIterator)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsHashSet newSet(java.util.Enumeration)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet()	2	2	null
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet(java.lang.Comparable)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet(java.lang.Comparable[])	5	3	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet(java.lang.Iterable)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet(java.util.Collection)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet(java.util.Iterator)	2	2	null
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet(com.helger.commons.collection.iterate.IIterableIterator)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsTreeSet newSortedSet(java.util.Enumeration)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet()	2	2	null
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet(java.lang.Object)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet(java.lang.Object[])	6	4	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet(java.lang.Iterable)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet(java.util.Collection)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet(java.util.Iterator)	2	2	null
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet(com.helger.commons.collection.iterate.IIterableIterator)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsLinkedHashSet newOrderedSet(java.util.Enumeration)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newListPrefilled(java.lang.Object,int)	3	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newList()	3	3	null
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newList(java.lang.Object)	23	18	4
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newList(java.lang.Object[])	84	57	14
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newList(java.util.Iterator)	5	3	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newList(java.lang.Iterable)	4	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newList(java.util.Collection)	4	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList newList(com.helger.commons.collection.iterate.IIterableIterator)	7	3	2
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getSorted(com.helger.commons.collection.iterate.IIterableIterator)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getSorted(java.util.Iterator)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getSorted(java.util.Iterator,java.util.Comparator)	3	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getSorted(java.util.Collection,java.util.Comparator)	8	2	2
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getSorted(java.lang.Comparable[])	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getSorted(java.lang.Object[],java.util.Comparator)	14	6	4
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsOrderedMap getSortedByKey(java.util.Map)	3	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsOrderedMap getSortedByKey(java.util.Map,java.util.Comparator)	4	2	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsOrderedMap getSortedByValue(java.util.Map)	2	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.ICommonsOrderedMap getSortedByValue(java.util.Map,java.util.Comparator)	3	1	1
com.helger.commons.collection.CollectionHelper	com.helger.commons.collection.impl.CommonsArrayList getReverseList(java.util.Collection)	3	1	1
com.helger.commons.collection.CollectionHelper	java.util.List getReverseInlineList(java.util.List)	3	1	1
