Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder addSerializationExclusionStrategy(com.google.gson.ExclusionStrategy)	2	2	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder addDeserializationExclusionStrategy(com.google.gson.ExclusionStrategy)	2	2	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setPrettyPrinting()	3	2	1
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder disableHtmlEscaping()	3	3	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setDateFormat(java.lang.String)	6	6	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder setDateFormat(int)	2	2	null
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder registerTypeAdapter(java.lang.reflect.Type,java.lang.Object)	89	70	13
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder registerTypeHierarchyAdapter(java.lang.Class,java.lang.Object)	16	10	5
com.google.gson.GsonBuilder	com.google.gson.GsonBuilder serializeSpecialFloatingPointValues()	7	7	null
com.google.gson.GsonBuilder	com.google.gson.Gson create()	182	168	10
com.google.gson.internal.LinkedHashTreeMap$KeySet	int size()	9	9	null
com.google.gson.internal.LinkedHashTreeMap$KeySet	java.util.Iterator iterator()	7	6	1
com.google.gson.internal.LinkedHashTreeMap$KeySet	boolean contains(java.lang.Object)	10	5	5
com.google.gson.internal.LinkedHashTreeMap$EntrySet$1	java.lang.Object next()	15	10	3
com.google.gson.internal.LinkedTreeMap$EntrySet$1	java.lang.Object next()	15	10	3
com.google.gson.internal.$Gson$Types	java.lang.reflect.ParameterizedType newParameterizedTypeWithOwner(java.lang.reflect.Type,java.lang.reflect.Type,java.lang.reflect.Type[])	6	3	1
com.google.gson.internal.$Gson$Types	java.lang.reflect.WildcardType subtypeOf(java.lang.reflect.Type)	7	3	3
com.google.gson.internal.$Gson$Types	java.lang.reflect.WildcardType supertypeOf(java.lang.reflect.Type)	5	3	1
com.google.gson.internal.UnsafeAllocator$1	java.lang.Object newInstance(java.lang.Class)	3	3	null
com.google.gson.internal.LinkedHashTreeMap$EntrySet	int size()	9	9	null
com.google.gson.internal.LinkedHashTreeMap$EntrySet	java.util.Iterator iterator()	7	6	1
com.google.gson.internal.LinkedHashTreeMap$EntrySet	boolean contains(java.lang.Object)	10	5	5
com.google.gson.internal.LazilyParsedNumber	int hashCode()	2	1	1
com.google.gson.internal.LinkedTreeMap$EntrySet	int size()	9	9	null
com.google.gson.internal.LinkedTreeMap$EntrySet	java.util.Iterator iterator()	7	6	1
com.google.gson.internal.LinkedTreeMap$EntrySet	boolean contains(java.lang.Object)	10	5	5
com.google.gson.internal.JavaVersion	int getMajorJavaVersion(java.lang.String)	17	6	2
com.google.gson.internal.JavaVersion	boolean isJava9OrLater()	7	6	1
com.google.gson.internal.UnsafeAllocator$2	java.lang.Object newInstance(java.lang.Class)	3	3	null
com.google.gson.internal.Excluder	com.google.gson.internal.Excluder withVersion(double)	3	3	null
com.google.gson.internal.Excluder	boolean excludeField(java.lang.reflect.Field,boolean)	15	10	5
com.google.gson.internal.Excluder	boolean excludeClass(java.lang.Class,boolean)	7	6	1
com.google.gson.internal.UnsafeAllocator$3	java.lang.Object newInstance(java.lang.Class)	3	3	null
com.google.gson.internal.LinkedTreeMap$KeySet$1	java.lang.Object next()	15	10	3
com.google.gson.internal.LinkedHashTreeMap	com.google.gson.internal.LinkedHashTreeMap$Node[] doubleCapacity(com.google.gson.internal.LinkedHashTreeMap$Node[])	2	2	null
com.google.gson.internal.UnsafeAllocator$4	java.lang.Object newInstance(java.lang.Class)	3	3	null
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.JsonElement get()	8	8	null
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter beginArray()	49	38	9
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter endArray()	38	31	5
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter beginObject()	26	20	4
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter endObject()	22	16	4
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter name(java.lang.String)	35	17	9
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter value(java.lang.String)	24	7	1
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter nullValue()	6	6	null
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter value(boolean)	14	8	6
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter value(java.lang.Boolean)	3	1	1
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter value(double)	32	8	7
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter value(long)	16	7	5
com.google.gson.internal.bind.JsonTreeWriter	com.google.gson.stream.JsonWriter value(java.lang.Number)	13	4	4
com.google.gson.internal.bind.JsonTreeWriter	void close()	18	13	2
com.google.gson.internal.bind.JsonTreeReader	void beginArray()	119	93	13
com.google.gson.internal.bind.JsonTreeReader	void endArray()	62	48	7
com.google.gson.internal.bind.JsonTreeReader	void beginObject()	58	45	9
com.google.gson.internal.bind.JsonTreeReader	void endObject()	29	21	5
com.google.gson.internal.bind.JsonTreeReader	boolean hasNext()	2	2	null
com.google.gson.internal.bind.JsonTreeReader	com.google.gson.stream.JsonToken peek()	94	59	9
com.google.gson.internal.bind.JsonTreeReader	java.lang.String nextName()	62	36	23
com.google.gson.internal.bind.JsonTreeReader	java.lang.String nextString()	63	33	10
com.google.gson.internal.bind.JsonTreeReader	boolean nextBoolean()	48	26	16
com.google.gson.internal.bind.JsonTreeReader	void nextNull()	18	8	5
com.google.gson.internal.bind.JsonTreeReader	double nextDouble()	36	17	7
com.google.gson.internal.bind.JsonTreeReader	long nextLong()	15	10	2
com.google.gson.internal.bind.JsonTreeReader	int nextInt()	30	17	8
com.google.gson.internal.bind.JsonTreeReader	void close()	8	6	1
