Class	Helper Method Name	Total Number of Calls	Total Number of Distinct Test-Case Callers	Total Number of Multi-called Test Cases
org.apache.commons.collections4.set.UnmodifiableSortedSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.UnmodifiableSortedSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.UnmodifiableSortedSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.UnmodifiableSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.UnmodifiableSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.UnmodifiableSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.UnmodifiableNavigableSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.UnmodifiableNavigableSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.UnmodifiableNavigableSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.CompositeSet	int size()	23	15	4
org.apache.commons.collections4.set.CompositeSet	boolean isEmpty()	8	6	2
org.apache.commons.collections4.set.CompositeSet	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.set.CompositeSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.CompositeSet	java.lang.Object[] toArray()	2	2	null
org.apache.commons.collections4.set.CompositeSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.CompositeSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.ListOrderedSet$OrderedSetIterator	java.lang.Object next()	29	22	4
org.apache.commons.collections4.set.ListOrderedSet$OrderedSetIterator	void remove()	4	3	1
org.apache.commons.collections4.set.ListOrderedSet	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.set.ListOrderedSet	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.set.ListOrderedSet	java.lang.Object[] toArray()	2	2	null
org.apache.commons.collections4.set.ListOrderedSet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.set.PredicatedSet	boolean equals(java.lang.Object)	28	2	2
org.apache.commons.collections4.set.TransformedSet	boolean equals(java.lang.Object)	28	2	2
org.apache.commons.collections4.SplitMapUtils	org.apache.commons.collections4.IterableMap readableMap(org.apache.commons.collections4.Get)	4	2	1
org.apache.commons.collections4.SplitMapUtils	java.util.Map writableMap(org.apache.commons.collections4.Put)	4	2	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable empty()	3	3	null
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable of(java.lang.Object[])	4	2	2
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable of(java.lang.Iterable)	61	25	18
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable append(java.lang.Object[])	3	2	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable collate(java.lang.Iterable)	2	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable collate(java.lang.Iterable,java.util.Comparator)	2	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable filter(org.apache.commons.collections4.Predicate)	4	2	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable limit(long)	5	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable reverse()	2	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable skip(long)	5	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable transform(org.apache.commons.collections4.Transformer)	3	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable unique()	2	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable unmodifiable()	2	1	1
org.apache.commons.collections4.FluentIterable	org.apache.commons.collections4.FluentIterable zip(java.lang.Iterable)	2	1	1
org.apache.commons.collections4.FluentIterable	java.util.Iterator iterator()	27	15	10
org.apache.commons.collections4.FluentIterable	java.util.Enumeration asEnumeration()	2	1	1
org.apache.commons.collections4.FluentIterable	boolean allMatch(org.apache.commons.collections4.Predicate)	4	1	1
org.apache.commons.collections4.FluentIterable	boolean anyMatch(org.apache.commons.collections4.Predicate)	4	1	1
org.apache.commons.collections4.FluentIterable	boolean isEmpty()	3	2	1
org.apache.commons.collections4.FluentIterable	boolean contains(java.lang.Object)	4	1	1
org.apache.commons.collections4.FluentIterable	void forEach(org.apache.commons.collections4.Closure)	2	1	1
org.apache.commons.collections4.FluentIterable	java.lang.Object get(int)	3	1	1
org.apache.commons.collections4.FluentIterable	int size()	6	3	2
org.apache.commons.collections4.FluentIterable	void copyInto(java.util.Collection)	3	1	1
org.apache.commons.collections4.FluentIterable	java.lang.Object[] toArray(java.lang.Class)	2	1	1
org.apache.commons.collections4.FluentIterable	java.util.List toList()	33	11	11
org.apache.commons.collections4.SetUtils$3	boolean contains(java.lang.Object)	46	13	11
org.apache.commons.collections4.SetUtils$3	boolean isEmpty()	8	6	2
org.apache.commons.collections4.SetUtils$3	int size()	27	19	4
org.apache.commons.collections4.QueueUtils	java.util.Queue synchronizedQueue(java.util.Queue)	2	1	1
org.apache.commons.collections4.QueueUtils	java.util.Queue unmodifiableQueue(java.util.Queue)	3	1	1
org.apache.commons.collections4.QueueUtils	java.util.Queue predicatedQueue(java.util.Queue,org.apache.commons.collections4.Predicate)	3	1	1
org.apache.commons.collections4.QueueUtils	java.util.Queue transformingQueue(java.util.Queue,org.apache.commons.collections4.Transformer)	3	1	1
org.apache.commons.collections4.SetUtils$1	boolean evaluate(java.lang.Object)	116	34	25
org.apache.commons.collections4.multimap.AbstractListValuedMap$WrappedList	java.lang.Object get(int)	22	8	7
org.apache.commons.collections4.multimap.AbstractListValuedMap$WrappedList	boolean equals(java.lang.Object)	31	4	3
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$ValuesIterator	void remove()	3	2	1
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$ValuesIterator	boolean hasNext()	27	14	9
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$ValuesIterator	java.lang.Object next()	28	21	4
org.apache.commons.collections4.multimap.UnmodifiableMultiValuedMap	boolean put(java.lang.Object,java.lang.Object)	2	2	null
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$MultiValuedMapEntry	java.lang.Object setValue(java.lang.Object)	3	3	null
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$EntryValues$1$1	java.lang.Object transform(java.lang.Object)	72	17	17
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	boolean add(java.lang.Object)	8	2	2
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	boolean addAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	java.util.Iterator iterator()	48	27	13
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	int size()	83	43	17
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	boolean contains(java.lang.Object)	42	14	10
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	boolean containsAll(java.util.Collection)	2	1	1
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	boolean isEmpty()	27	17	5
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$WrappedCollection	java.lang.Object[] toArray()	2	2	null
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$MultiValuedMapIterator	boolean hasNext()	29	16	9
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$MultiValuedMapIterator	java.lang.Object next()	30	23	4
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$MultiValuedMapIterator	java.lang.Object getKey()	2	2	null
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$MultiValuedMapIterator	java.lang.Object getValue()	2	2	null
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$MultiValuedMapIterator	void remove()	4	3	1
org.apache.commons.collections4.multimap.TransformedMultiValuedMap	boolean put(java.lang.Object,java.lang.Object)	2	2	null
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$AsMap$AsMapEntrySet	java.util.Iterator iterator()	33	21	10
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$AsMap$AsMapEntrySet	int size()	23	15	4
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$AsMap$AsMapEntrySet	boolean contains(java.lang.Object)	29	10	8
org.apache.commons.collections4.multimap.AbstractMultiValuedMap$KeysMultiSet$MapEntryTransformer	java.lang.Object transform(java.lang.Object)	72	17	17
